Country,Year,Tech Sector,Market Share (%), R&D Investment (in USD) ,Number of Patents Filed (Annual),Number of Tech Companies, Tech Exports (in USD) ,Number of Startups, Venture Capital Funding (in USD) ,Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
Japan,2022,Semiconductor,48.03%," $85,984,114,084 ",9642,883," $117,102,771,899.60 ",280," $19,861,143,556 ",3,59%,62%,168,AI Chips,847496
China,2005,AI,26.87%," $29,049,312,281 ",6990,575," $189,460,371,294.79 ",344," $6,664,445,391 ",1,90%,48%,163,5G Equipment,123436
China,2007,Cloud Computing,6.93%," $43,230,560,950 ",1439,1133," $42,760,456,707.72 ",424," $48,734,249,534 ",11,75%,74%,45,AI Chips,950194
Japan,2016,Semiconductor,23.00%," $92,482,331,702 ",3254,917," $181,319,909,815.31 ",114," $29,738,387,169 ",1,55%,81%,79,AI Chips,616889
China,2006,Semiconductor,28.06%," $61,068,412,867 ",3534,651," $147,587,136,955.59 ",66," $45,165,864,335 ",17,68%,49%,21,AI Chips,402238
China,2001,Cloud Computing,45.57%," $7,705,938,139 ",5003,1563," $146,300,533,900.47 ",248," $5,240,983,231 ",6,45%,76%,82,Robots,803491
China,2017,Telecommunications,45.31%," $43,822,199,642 ",9415,1750," $149,704,405,539.50 ",226," $45,281,547,714 ",6,85%,78%,50,Robots,681829
China,2014,Semiconductor,9.35%," $80,244,755,037 ",4062,573," $60,671,938,077.90 ",158," $40,339,648,426 ",16,99%,18%,61,Cloud Servers,227785
China,2023,Semiconductor,12.04%," $6,043,838,457 ",7432,1534," $192,743,648,842.00 ",475," $41,534,979,707 ",19,87%,33%,162,Robots,959646
Japan,2018,Telecommunications,18.22%," $48,079,988,367 ",5353,258," $21,800,136,994.03 ",434," $49,251,928,861 ",12,53%,21%,134,AI Chips,898145
Japan,2002,Telecommunications,49.35%," $52,804,706,610 ",9256,1512," $180,429,018,370.27 ",295," $9,699,455,104 ",7,63%,46%,25,Semiconductors,949591
China,2010,Semiconductor,15.17%," $23,937,451,352 ",6840,1086," $68,450,074,348.51 ",249," $945,273,396 ",10,43%,57%,106,Cloud Servers,348094
China,2017,Semiconductor,40.31%," $17,405,831,858 ",862,1819," $103,365,780,564.24 ",402," $35,670,600,904 ",8,91%,60%,74,Semiconductors,932269
Japan,2016,Telecommunications,24.64%," $39,312,177,556 ",770,1043," $75,811,191,059.51 ",62," $30,483,233,952 ",7,59%,17%,96,Robots,699067
Japan,2001,AI,20.86%," $14,315,311,158 ",661,1906," $77,084,757,336.31 ",42," $23,420,096,489 ",1,89%,40%,30,Semiconductors,734989
China,2012,Software,16.25%," $88,484,398,338 ",3495,158," $135,036,520,853.09 ",169," $425,924,806 ",15,59%,11%,129,Robots,425337
Japan,2002,Cloud Computing,15.40%," $98,385,644,170 ",6282,496," $122,534,875,490.35 ",229," $2,304,508,910 ",8,58%,54%,130,Cloud Servers,352834
Japan,2023,Telecommunications,13.54%," $3,220,028,285 ",4727,948," $10,696,100,855.26 ",172," $19,677,738,784 ",7,49%,56%,95,5G Equipment,99585
China,2022,Telecommunications,33.09%," $77,722,324,789 ",6890,269," $28,151,700,783.51 ",451," $35,970,566,751 ",2,81%,25%,22,Semiconductors,342184
China,2007,Software,15.41%," $21,740,784,346 ",3966,572," $95,898,063,017.98 ",331," $29,917,031,158 ",6,73%,78%,80,Cloud Servers,479214
Japan,2022,Robotics,9.42%," $59,126,113,648 ",5658,1506," $71,745,933,065.32 ",53," $26,998,679,458 ",4,58%,88%,123,Cloud Servers,33584
Japan,2023,Robotics,5.34%," $23,055,129,216 ",4329,1551," $172,233,009,925.35 ",299," $28,384,201,158 ",17,75%,74%,84,Robots,280848
Japan,2003,Robotics,23.01%," $79,952,628,515 ",9805,1786," $102,287,845,643.90 ",406," $34,087,778,424 ",3,70%,40%,123,Semiconductors,765097
China,2009,Biotechnology,30.17%," $91,306,468,409 ",5420,487," $13,637,075,133.62 ",474," $2,492,957,862 ",4,58%,56%,6,AI Chips,611937
Japan,2013,Semiconductor,27.12%," $92,638,171,699 ",7224,1490," $36,733,695,177.83 ",445," $48,980,402,079 ",5,44%,65%,62,Robots,648708
Japan,2001,Software,45.03%," $78,329,009,638 ",6653,1969," $57,177,885,125.05 ",288," $19,938,733,604 ",14,88%,75%,29,Robots,47381
Japan,2018,Telecommunications,24.05%," $89,184,234,450 ",4038,236," $14,355,622,486.88 ",111," $39,409,390,758 ",5,90%,14%,161,Cloud Servers,362765
Japan,2022,Robotics,34.67%," $48,491,085,031 ",652,1505," $158,656,371,656.65 ",427," $14,024,580,803 ",1,75%,64%,41,Cloud Servers,696205
Japan,2004,Robotics,34.45%," $14,065,764,007 ",9546,351," $98,742,877,397.07 ",301," $28,570,357,860 ",10,45%,52%,60,Cloud Servers,249552
China,2022,AI,16.12%," $82,775,307,133 ",1256,590," $50,376,946,124.49 ",177," $17,169,688,861 ",2,86%,75%,30,5G Equipment,986440
Japan,2007,Semiconductor,24.03%," $22,303,970,022 ",8688,581," $41,231,556,550.06 ",203," $47,654,828,344 ",3,52%,89%,149,Semiconductors,672033
China,2015,Robotics,46.87%," $14,858,493,627 ",9313,899," $199,611,653,851.00 ",244," $47,835,299,251 ",7,95%,76%,40,5G Equipment,751486
China,2008,AI,34.68%," $64,276,738,582 ",480,353," $52,287,944,049.98 ",383," $36,702,971,792 ",8,65%,15%,160,Semiconductors,657867
Japan,2008,Cloud Computing,49.96%," $53,406,178,788 ",5390,1568," $183,279,557,328.37 ",428," $2,026,356,816 ",6,55%,24%,180,Robots,323273
Japan,2018,Software,6.13%," $48,560,647,720 ",5318,138," $160,251,297,202.29 ",66," $22,767,838,003 ",1,55%,31%,34,Robots,75533
Japan,2020,Cloud Computing,9.88%," $25,338,754,877 ",3337,1850," $123,313,620,100.10 ",39," $31,050,112,039 ",19,71%,26%,4,Robots,90749
China,2013,Telecommunications,41.41%," $8,207,113,373 ",821,242," $55,845,196,878.94 ",395," $31,386,842,093 ",8,57%,34%,28,Robots,582568
China,2008,AI,15.63%," $46,896,994,925 ",3027,1477," $188,380,382,240.44 ",132," $24,256,235,688 ",2,68%,77%,27,5G Equipment,839822
Japan,2005,Software,47.38%," $71,734,307,922 ",3518,1416," $15,157,556,503.82 ",212," $31,490,713,390 ",13,47%,14%,53,Semiconductors,407709
China,2019,AI,43.58%," $37,774,559,010 ",9646,577," $137,920,725,855.77 ",165," $29,175,469,479 ",16,66%,82%,63,AI Chips,919439
Japan,2001,Biotechnology,8.41%," $32,231,049,109 ",4872,1193," $195,578,650,442.66 ",38," $34,634,016,908 ",16,72%,78%,166,Semiconductors,268472
China,2021,Biotechnology,49.15%," $8,389,135,038 ",7527,387," $198,349,851,349.27 ",420," $7,418,057,765 ",4,69%,11%,69,Robots,756273
Japan,2013,Cloud Computing,33.91%," $43,432,749,403 ",7850,592," $31,881,681,181.40 ",116," $17,805,098,969 ",14,83%,32%,148,Cloud Servers,366515
China,2002,Software,41.79%," $10,273,954,447 ",6630,269," $68,517,091,872.07 ",18," $14,425,117,149 ",6,40%,13%,59,Semiconductors,270377
Japan,2017,Cloud Computing,36.76%," $47,842,975,118 ",7780,1596," $34,876,151,915.64 ",13," $42,377,818,235 ",17,79%,30%,67,5G Equipment,108487
Japan,2010,AI,45.35%," $9,270,827,566 ",6090,1353," $153,388,968,904.35 ",419," $25,625,435,728 ",1,49%,19%,168,AI Chips,81300
China,2018,Telecommunications,42.93%," $80,498,603,212 ",4331,355," $19,878,541,037.23 ",426," $41,998,469,845 ",1,85%,73%,154,Robots,929806
Japan,2011,AI,40.19%," $96,233,607,015 ",8501,1525," $125,852,685,707.97 ",418," $44,841,849,366 ",7,88%,69%,166,Robots,535553
China,2012,Biotechnology,33.16%," $41,218,392,936 ",4893,1600," $140,562,528,199.04 ",75," $21,622,448,204 ",1,49%,82%,49,Robots,69557
China,2007,Semiconductor,29.35%," $96,789,805,474 ",9895,1370," $169,250,656,182.97 ",438," $1,999,665,884 ",8,47%,60%,153,5G Equipment,785535
Japan,2012,Semiconductor,16.25%," $87,072,865,065 ",2966,1343," $126,464,443,736.04 ",118," $14,386,880,920 ",17,84%,43%,43,AI Chips,555006
China,2006,Biotechnology,16.39%," $52,321,977,415 ",199,358," $171,007,278,783.96 ",164," $2,644,143,950 ",19,99%,68%,66,Semiconductors,275065
China,2021,Biotechnology,42.01%," $23,725,154,932 ",8828,652," $58,011,644,328.97 ",480," $13,273,429,496 ",4,42%,62%,8,AI Chips,932026
China,2003,Software,32.03%," $44,196,692,761 ",6625,1009," $60,434,583,938.06 ",59," $27,378,904,042 ",16,42%,13%,24,5G Equipment,584618
Japan,2000,Robotics,38.04%," $61,606,464,101 ",139,954," $110,144,199,574.41 ",57," $41,515,789,254 ",7,75%,43%,38,Cloud Servers,565535
Japan,2013,Semiconductor,46.61%," $78,063,592,064 ",3458,1633," $180,672,665,987.51 ",18," $43,711,419,581 ",11,98%,89%,178,Cloud Servers,386359
Japan,2006,Robotics,25.28%," $33,512,118,903 ",4127,1075," $134,188,408,705.00 ",17," $28,511,121,248 ",15,60%,34%,41,Robots,300401
China,2009,AI,13.47%," $76,076,641,495 ",803,381," $114,651,152,734.55 ",238," $40,718,959,365 ",11,53%,53%,78,Semiconductors,527399
Japan,2023,Biotechnology,48.04%," $59,596,238,148 ",4849,1999," $66,271,084,985.99 ",408," $26,261,422,746 ",18,76%,75%,136,5G Equipment,593990
Japan,2011,Cloud Computing,30.03%," $8,506,195,483 ",2145,1175," $151,345,629,535.36 ",495," $41,899,956,102 ",19,67%,52%,10,Cloud Servers,573560
China,2019,Robotics,23.16%," $24,744,247,988 ",3086,1370," $83,235,731,305.38 ",265," $5,736,062,030 ",10,49%,61%,145,Cloud Servers,548782
China,2012,Cloud Computing,11.03%," $4,195,989,346 ",1770,489," $45,248,240,343.90 ",127," $38,762,039,061 ",18,62%,69%,11,Semiconductors,594570
China,2023,AI,5.28%," $39,528,482,587 ",8109,843," $75,138,949,167.43 ",413," $49,491,295,226 ",2,65%,56%,62,5G Equipment,38456
Japan,2021,Semiconductor,27.62%," $34,719,934,251 ",6650,1695," $182,728,268,402.68 ",355," $23,672,150,939 ",6,48%,25%,86,Cloud Servers,996791
Japan,2011,Cloud Computing,31.01%," $66,322,244,769 ",7614,910," $153,469,954,821.68 ",330," $24,240,842,951 ",18,45%,24%,126,5G Equipment,250349
China,2016,AI,38.27%," $11,179,564,814 ",7875,364," $175,715,515,731.54 ",176," $23,514,987,703 ",5,71%,34%,174,Robots,871616
Japan,2009,Software,6.90%," $42,625,885,728 ",952,1187," $58,559,915,755.07 ",96," $30,365,095,847 ",15,86%,40%,108,Semiconductors,583039
Japan,2020,Software,41.08%," $13,920,858,270 ",1163,647," $53,818,525,457.30 ",89," $26,642,422,338 ",18,51%,49%,186,5G Equipment,934571
Japan,2002,Biotechnology,19.70%," $78,028,860,789 ",8131,1335," $31,406,531,454.66 ",271," $39,442,632,117 ",16,99%,72%,125,Robots,425113
Japan,2021,Robotics,13.40%," $77,460,376,311 ",9987,74," $154,704,159,220.79 ",125," $40,277,016,882 ",14,76%,52%,169,Cloud Servers,57721
China,2008,Robotics,31.36%," $90,779,908,494 ",777,819," $68,447,654,442.70 ",251," $29,460,944,320 ",10,93%,14%,40,Semiconductors,704480
China,2004,Cloud Computing,31.58%," $87,209,966,343 ",7991,1887," $97,934,699,208.69 ",47," $23,672,433,034 ",4,48%,24%,188,Cloud Servers,480343
China,2013,Robotics,11.70%," $23,318,033,462 ",6501,1801," $182,183,753,395.93 ",356," $22,060,063,512 ",19,61%,25%,89,Cloud Servers,55468
Japan,2021,Telecommunications,38.07%," $24,390,535,215 ",8834,1558," $71,519,166,049.25 ",378," $41,980,136,592 ",1,54%,47%,44,5G Equipment,707381
China,2008,Semiconductor,25.06%," $35,489,247,473 ",6471,894," $19,558,651,451.83 ",107," $31,579,733,069 ",1,46%,36%,60,Semiconductors,56903
Japan,2023,Cloud Computing,19.32%," $54,025,306,510 ",6266,1286," $160,086,976,692.68 ",217," $12,269,135,228 ",14,62%,37%,79,AI Chips,883120
China,2009,Telecommunications,45.02%," $29,435,187,460 ",2967,1915," $115,110,288,167.16 ",200," $12,896,175,976 ",2,58%,83%,25,Robots,61364
Japan,2014,AI,10.51%," $40,984,368,979 ",9204,641," $170,544,211,769.25 ",294," $13,902,195,946 ",13,87%,23%,118,AI Chips,655717
Japan,2013,Cloud Computing,10.65%," $58,830,302,422 ",6350,1832," $34,312,025,085.90 ",491," $34,279,428,269 ",6,77%,22%,15,Robots,646109
Japan,2014,Telecommunications,21.50%," $82,224,324,160 ",1159,620," $188,243,458,496.80 ",436," $7,736,933,935 ",5,88%,82%,17,Cloud Servers,360931
Japan,2015,Telecommunications,21.04%," $76,086,164,213 ",6232,1351," $100,644,915,437.90 ",311," $12,443,417,681 ",8,80%,68%,78,Robots,328563
Japan,2004,Robotics,11.19%," $74,654,463,033 ",7268,1258," $41,866,926,327.75 ",11," $45,455,136,964 ",18,93%,72%,156,Cloud Servers,552191
Japan,2006,AI,38.44%," $66,444,252,693 ",1692,215," $8,853,195,958.63 ",452," $23,973,958,729 ",2,85%,48%,186,AI Chips,133098
China,2002,AI,19.98%," $47,292,236,361 ",2030,1675," $121,171,751,640.06 ",169," $18,345,680,373 ",17,73%,46%,83,Cloud Servers,648027
China,2013,Biotechnology,22.95%," $66,082,278,404 ",3872,1707," $105,698,958,001.09 ",55," $39,547,528,982 ",5,92%,33%,136,AI Chips,469895
China,2022,Semiconductor,35.56%," $42,231,111,003 ",972,1792," $169,006,798,271.64 ",196," $7,947,887,738 ",19,85%,49%,116,5G Equipment,475680
Japan,2011,Robotics,36.44%," $45,736,570,206 ",7723,1685," $3,389,846,868.13 ",214," $9,621,979,844 ",19,74%,26%,2,5G Equipment,447970
Japan,2008,Semiconductor,18.90%," $53,824,167,234 ",5825,1127," $137,456,482,695.19 ",79," $16,760,531,583 ",8,80%,23%,122,Robots,388128
Japan,2005,Software,45.03%," $19,577,591,292 ",772,1123," $91,306,292,039.71 ",163," $43,196,221,409 ",8,69%,65%,175,Robots,803004
China,2005,Robotics,25.43%," $87,044,343,120 ",4293,125," $194,289,804,506.37 ",408," $9,199,783,436 ",1,90%,81%,51,Robots,599600
China,2019,AI,33.69%," $70,442,089,175 ",7719,1018," $107,171,740,536.63 ",44," $20,531,929,360 ",10,77%,23%,61,Robots,107483
Japan,2023,Software,37.55%," $55,388,746,769 ",1284,726," $23,396,753,896.23 ",201," $8,076,123,297 ",17,51%,86%,199,AI Chips,836062
China,2011,Semiconductor,5.91%," $3,017,544,408 ",2923,201," $57,710,121,464.72 ",121," $25,750,431,112 ",11,57%,37%,15,Robots,302498
China,2013,Semiconductor,24.43%," $81,110,317,149 ",3415,886," $183,265,608,616.30 ",435," $9,574,718,886 ",9,85%,19%,70,Robots,329325
China,2006,AI,42.42%," $43,493,211,120 ",9451,521," $159,551,429,887.64 ",487," $20,851,550,742 ",14,57%,63%,107,AI Chips,249165
Japan,2016,Semiconductor,38.78%," $80,611,815,309 ",6572,1163," $41,769,841,726.55 ",56," $25,045,057,268 ",2,99%,79%,139,Cloud Servers,320824
Japan,2022,Semiconductor,31.54%," $70,375,345,908 ",2684,1691," $72,033,081,714.72 ",20," $35,692,169,093 ",3,79%,24%,105,Cloud Servers,767624
China,2008,AI,6.48%," $69,897,885,260 ",4083,1932," $121,103,797,538.15 ",169," $44,009,888,328 ",13,67%,72%,60,5G Equipment,426781
China,2010,AI,7.77%," $2,429,602,468 ",4470,1575," $6,570,034,884.88 ",114," $17,962,194,703 ",6,47%,60%,11,Robots,884824
China,2011,Biotechnology,43.87%," $10,219,177,853 ",5104,790," $37,928,809,547.65 ",218," $6,604,566,182 ",8,43%,40%,130,AI Chips,688690
Japan,2016,Software,38.99%," $32,083,574,340 ",8378,510," $195,077,571,876.91 ",376," $4,107,961,598 ",1,74%,44%,121,Robots,840321
China,2017,Software,43.71%," $63,104,429,240 ",1911,295," $89,938,080,867.25 ",199," $3,757,462,738 ",6,60%,18%,29,Cloud Servers,256526
Japan,2009,Biotechnology,46.20%," $52,009,557,444 ",2153,976," $119,301,127,496.49 ",414," $27,376,746,720 ",19,47%,70%,52,Cloud Servers,580800
Japan,2015,Semiconductor,39.95%," $62,253,942,267 ",1401,1914," $3,733,100,724.26 ",122," $14,915,655,962 ",16,78%,32%,65,AI Chips,664416
Japan,2023,Software,19.24%," $49,867,081,531 ",328,1051," $52,095,410,067.03 ",280," $47,668,216,458 ",17,52%,24%,68,AI Chips,382682
Japan,2010,AI,36.48%," $48,854,057,436 ",4637,154," $171,124,546,893.08 ",133," $18,374,022,212 ",7,96%,77%,142,Semiconductors,743915
China,2011,Semiconductor,35.70%," $95,457,868,720 ",3207,672," $114,846,931,742.25 ",150," $40,375,205,579 ",16,85%,18%,141,AI Chips,907578
Japan,2006,Telecommunications,6.18%," $70,138,544,928 ",2242,1000," $177,523,397,092.57 ",407," $16,835,854,063 ",9,53%,64%,137,Semiconductors,174432
China,2011,Biotechnology,21.47%," $71,024,158,374 ",1789,1757," $152,544,997,530.27 ",355," $9,885,184,794 ",15,72%,14%,104,AI Chips,516531
China,2004,Cloud Computing,37.69%," $31,948,899,134 ",8383,1559," $67,160,033,879.84 ",359," $45,260,269,013 ",17,43%,36%,33,5G Equipment,975361
China,2002,Software,13.17%," $33,907,297,855 ",3948,1745," $176,454,610,725.08 ",400," $284,761,584 ",4,100%,55%,67,AI Chips,103437
China,2022,Software,18.06%," $54,857,926,103 ",5894,446," $87,121,568,041.75 ",420," $48,018,021,955 ",10,40%,85%,75,Robots,812681
Japan,2012,Cloud Computing,26.61%," $45,415,213,660 ",2371,907," $26,773,419,852.87 ",124," $7,742,976,270 ",9,88%,53%,199,5G Equipment,905957
Japan,2020,AI,10.51%," $98,161,571,705 ",5176,1291," $123,021,072,939.58 ",476," $21,766,915,446 ",19,59%,89%,183,5G Equipment,413471
Japan,2021,Robotics,36.40%," $40,099,504,780 ",1873,1889," $36,413,630,961.53 ",476," $26,098,142,839 ",14,45%,75%,9,Cloud Servers,968774
Japan,2007,Robotics,16.78%," $71,079,631,027 ",4257,339," $84,222,012,230.62 ",122," $40,838,978,191 ",1,45%,34%,175,Cloud Servers,249029
Japan,2015,Robotics,27.11%," $52,690,829,490 ",5282,838," $36,925,219,019.46 ",467," $32,468,661,714 ",18,55%,12%,106,AI Chips,925522
China,2014,Cloud Computing,8.66%," $51,859,493,247 ",1521,849," $154,030,347,484.68 ",111," $35,435,593,161 ",16,98%,89%,131,AI Chips,345769
Japan,2019,Biotechnology,26.82%," $90,449,563,866 ",2440,999," $23,080,183,420.62 ",184," $15,241,581,865 ",6,91%,62%,76,Robots,541419
Japan,2018,Software,43.11%," $77,731,500,018 ",2429,275," $17,249,171,722.03 ",405," $38,325,554,754 ",19,99%,23%,58,AI Chips,523058
Japan,2009,Robotics,43.46%," $4,163,242,606 ",3008,1239," $89,205,323,456.04 ",195," $7,999,629,857 ",9,95%,27%,154,AI Chips,807257
China,2000,Telecommunications,13.08%," $33,261,489,548 ",1695,1381," $178,014,234,834.55 ",165," $7,579,755,044 ",16,60%,55%,79,Cloud Servers,5401
Japan,2004,Robotics,45.48%," $9,703,735,846 ",4042,1548," $32,201,287,764.71 ",274," $12,476,684,232 ",2,42%,68%,70,Robots,628176
Japan,2012,Biotechnology,19.22%," $68,575,371,279 ",1569,823," $145,825,002,615.96 ",59," $41,808,540,198 ",3,92%,51%,99,Cloud Servers,358171
China,2013,AI,48.50%," $34,302,968,263 ",1379,118," $185,931,126,865.40 ",33," $49,813,122,739 ",5,92%,26%,140,Semiconductors,952463
China,2014,Robotics,44.70%," $60,815,692,823 ",8758,742," $157,482,844,183.35 ",243," $24,919,290,177 ",15,93%,80%,144,Cloud Servers,325766
Japan,2022,Robotics,27.71%," $68,428,515,925 ",2094,623," $39,824,854,084.94 ",298," $48,452,243,181 ",16,50%,55%,154,Robots,523875
Japan,2008,Software,43.45%," $22,322,854,842 ",834,85," $26,699,340,688.20 ",312," $32,349,710,912 ",7,47%,43%,156,Robots,84102
China,2013,Cloud Computing,28.19%," $34,515,747,113 ",3275,1608," $152,119,849,196.07 ",428," $15,073,937,089 ",18,95%,74%,20,Cloud Servers,388717
Japan,2000,Software,13.83%," $85,429,666,348 ",5376,430," $47,463,614,786.90 ",285," $20,755,951,396 ",7,81%,48%,95,Robots,166997
Japan,2004,Biotechnology,24.64%," $80,254,382,228 ",6595,1201," $29,980,260,394.58 ",384," $42,382,501,399 ",3,47%,51%,161,Cloud Servers,787489
Japan,2022,Cloud Computing,27.34%," $15,308,341,013 ",3250,76," $12,180,334,840.27 ",424," $18,621,698,410 ",6,84%,33%,194,Cloud Servers,419404
China,2008,Biotechnology,23.90%," $43,680,007,356 ",7064,1492," $68,219,213,449.05 ",378," $32,340,047,441 ",17,81%,88%,63,AI Chips,444037
Japan,2010,Telecommunications,10.26%," $81,801,229,638 ",4657,871," $26,015,708,534.07 ",235," $29,130,194,303 ",5,80%,60%,178,AI Chips,783098
China,2017,Cloud Computing,33.75%," $88,110,207,381 ",4899,1828," $58,964,034,354.84 ",129," $42,760,333,584 ",13,98%,53%,34,AI Chips,834397
Japan,2009,Software,46.13%," $55,868,045,640 ",8277,1868," $66,735,446,752.36 ",307," $14,079,099,731 ",10,93%,32%,117,Semiconductors,284786
China,2022,AI,26.79%," $82,091,209,893 ",2353,1065," $161,551,971,917.62 ",28," $8,846,162,435 ",15,72%,63%,90,5G Equipment,239934
Japan,2011,Robotics,36.80%," $5,818,694,715 ",4988,1749," $189,266,566,350.91 ",398," $42,512,713,644 ",3,57%,68%,46,Cloud Servers,411963
Japan,2002,AI,9.34%," $69,710,951,739 ",3885,1481," $45,985,470,784.22 ",465," $15,317,989,050 ",9,87%,86%,58,Robots,501980
China,2013,Biotechnology,39.65%," $42,851,997,637 ",3156,836," $156,511,408,347.46 ",437," $31,799,779,401 ",1,58%,54%,20,Robots,507164
Japan,2021,Robotics,34.81%," $74,912,801,737 ",4090,1056," $87,020,331,822.65 ",150," $27,570,343,526 ",16,86%,40%,34,AI Chips,150838
Japan,2003,Biotechnology,16.83%," $43,944,038,628 ",1385,1041," $9,890,093,510.77 ",345," $40,804,918,005 ",15,78%,82%,111,Semiconductors,690499
China,2020,Semiconductor,36.29%," $21,988,380,423 ",4688,1947," $171,347,947,854.13 ",231," $35,992,279,146 ",10,61%,56%,198,5G Equipment,612778
China,2004,Cloud Computing,40.54%," $20,027,771,760 ",2856,1433," $52,223,128,810.08 ",123," $16,907,241,757 ",8,93%,55%,40,Semiconductors,902919
Japan,2009,Semiconductor,26.71%," $11,095,575,119 ",7815,1602," $64,486,325,338.42 ",51," $1,538,599,092 ",1,85%,86%,88,5G Equipment,8272
Japan,2010,Software,10.82%," $81,337,920,975 ",4502,1678," $44,150,724,973.99 ",90," $14,562,702,619 ",13,82%,45%,72,5G Equipment,126711
China,2003,Software,26.49%," $17,137,522,092 ",3621,445," $138,663,446,463.68 ",378," $10,515,716,758 ",5,78%,12%,184,AI Chips,605552
China,2005,Cloud Computing,28.86%," $46,016,856,371 ",5345,193," $155,680,003,652.78 ",397," $45,045,081,888 ",1,71%,52%,186,Robots,545193
China,2001,Biotechnology,6.03%," $97,986,320,152 ",2398,873," $73,367,547,260.29 ",85," $8,748,171,867 ",5,50%,75%,159,Cloud Servers,910399
China,2002,Robotics,23.11%," $74,786,520,666 ",7595,898," $135,119,380,986.82 ",160," $3,118,670,422 ",10,52%,30%,32,Semiconductors,155739
China,2011,Semiconductor,22.48%," $19,484,092,180 ",9288,574," $178,254,874,309.39 ",39," $24,519,926,132 ",15,99%,21%,59,AI Chips,174042
Japan,2005,Software,42.28%," $63,780,251,261 ",8381,1426," $87,677,302,880.65 ",29," $17,569,697,838 ",17,97%,30%,43,Robots,483120
China,2017,Software,22.55%," $74,984,189,260 ",7806,188," $68,119,439,405.10 ",207," $32,357,518,305 ",14,53%,25%,161,5G Equipment,731701
Japan,2008,Cloud Computing,36.87%," $62,945,888,635 ",3008,1976," $60,254,031,874.49 ",104," $8,351,510,764 ",18,71%,15%,132,AI Chips,134219
Japan,2023,Robotics,37.29%," $33,161,549,573 ",9287,1079," $45,941,061,587.44 ",187," $47,889,787,445 ",13,50%,89%,92,AI Chips,676775
China,2015,Robotics,7.30%," $71,767,751,780 ",9495,1052," $173,264,368,265.94 ",110," $2,855,350,481 ",14,82%,53%,133,Cloud Servers,224267
China,2012,Robotics,48.96%," $12,262,452,425 ",1975,1232," $75,553,630,857.18 ",202," $23,025,989,432 ",8,81%,73%,137,Semiconductors,445849
Japan,2002,Cloud Computing,14.68%," $45,105,265,981 ",4160,140," $22,089,467,390.52 ",194," $23,122,054,084 ",2,77%,75%,123,Robots,328782
Japan,2003,Telecommunications,18.79%," $88,257,829,613 ",8144,592," $22,899,326,430.40 ",200," $32,632,318,100 ",7,79%,51%,15,AI Chips,33564
Japan,2003,Software,18.45%," $87,952,410,233 ",3445,1669," $50,256,110,003.55 ",237," $4,623,794,940 ",3,48%,79%,130,AI Chips,206131
China,2004,Software,29.68%," $51,195,305,658 ",8212,769," $20,023,434,147.06 ",276," $23,088,842,241 ",5,47%,88%,198,Cloud Servers,151073
China,2015,Semiconductor,24.94%," $30,601,891,810 ",7899,337," $103,999,049,866.54 ",295," $39,882,069,692 ",10,99%,74%,94,5G Equipment,271019
Japan,2006,Biotechnology,48.14%," $8,573,529,150 ",4857,843," $12,375,609,779.64 ",227," $14,184,694,784 ",6,74%,25%,84,Robots,414826
Japan,2007,Telecommunications,18.38%," $23,606,282,983 ",7655,529," $108,586,859,622.38 ",153," $48,947,896,591 ",8,41%,48%,18,Semiconductors,945972
China,2001,Cloud Computing,13.88%," $21,420,993,399 ",7307,1959," $197,119,265,144.97 ",349," $29,121,647,183 ",9,67%,63%,104,Robots,2422
Japan,2017,Telecommunications,18.18%," $42,138,316,103 ",4801,1056," $177,126,332,146.56 ",449," $2,069,992,679 ",5,47%,37%,37,5G Equipment,13320
Japan,2020,Telecommunications,45.58%," $20,224,687,049 ",3023,640," $45,210,731,101.08 ",216," $26,047,496,277 ",17,77%,48%,67,5G Equipment,595375
China,2014,Semiconductor,28.87%," $79,674,651,376 ",119,943," $77,819,907,596.43 ",388," $49,387,913,536 ",7,89%,57%,152,Semiconductors,562125
Japan,2011,AI,36.07%," $64,845,542,155 ",6816,1827," $74,079,713,901.93 ",242," $22,449,969,257 ",15,97%,43%,197,5G Equipment,525131
Japan,2007,AI,14.25%," $53,258,079,639 ",9687,671," $11,939,006,967.82 ",135," $3,575,097,710 ",11,62%,21%,151,Robots,958295
Japan,2014,Biotechnology,10.34%," $15,992,576,352 ",479,627," $185,535,046,544.08 ",257," $31,220,774,891 ",12,57%,55%,197,Cloud Servers,898194
Japan,2003,Software,29.68%," $65,031,915,645 ",1627,683," $26,991,185,398.57 ",459," $8,118,317,289 ",4,87%,42%,18,Semiconductors,752341
Japan,2016,Semiconductor,21.68%," $75,598,103,078 ",2884,1649," $141,086,758,578.09 ",244," $48,246,790,711 ",13,62%,81%,2,Robots,922811
China,2002,Telecommunications,26.14%," $64,546,625,311 ",4262,1669," $77,653,533,181.43 ",54," $25,102,377,297 ",3,92%,25%,52,Cloud Servers,580902
Japan,2012,Software,45.13%," $11,847,985,705 ",323,345," $119,778,642,281.55 ",213," $31,530,228,926 ",6,75%,52%,123,Cloud Servers,972775
Japan,2010,AI,46.03%," $48,910,923,586 ",4110,459," $122,172,824,711.50 ",461," $1,181,154,757 ",15,89%,32%,144,Cloud Servers,657757
